year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss,Review score,display_category
2020,1,ID_BAH013,North Sumatra,Banda Aceh,Banda Aceh,303,40704732.76,0.7492,0.3564,0.1353,0.0627,0.1584,0.0,0.0,0.0,0.3069,0.0825,0.0,0.0,0.0,0.0033,179310,189257,190675,187984,188550,0,0,0,183909,117600,0,0,0,220000,134334,0.262,0.0128,0.2942,0.1972,0,8.4,OYO Hotels
2020,1,ID_BAH014,North Sumatra,Banda Aceh,Banda Aceh,496,29060436.39,0.3931,0.2782,0.1452,0.0242,0.0786,0.0262,0.0,0.004,0.1109,0.0,0.0,0.004,0.0,0.0,149045,143802,142445,148109,144901,146891,0,125308,162962,0,0,128127,0,0,58596,0.3661,0.0536,0.3736,0.248,0,3.6,SPOT ON
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.0,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.1,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,5.6,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.2,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.4,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.4,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.7,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.0,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.7,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.7,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,4.8,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.4,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.4,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.0,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.3,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.4,OYO Hotels
