year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_BAH006,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH007,North Sumatra,Banda Aceh,Banda Aceh,620,########,34.84%,20.81%,8.23%,0.48%,10.16%,0.97%,0.00%,0.97%,13.23%,0.00%,0.00%,0.48%,0.32%,0.00%,"188,377","180,738","174,403","350,000","182,133","136,470",0,"179,564","198,390",0,0,"259,067","164,572",0,"65,628",20.71%,2.14%,58.80%,48.21%,0
2020,1,ID_BAH008,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH009,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH010,North Sumatra,Banda Aceh,Banda Aceh,628,########,66.08%,20.38%,10.67%,4.14%,1.43%,2.71%,1.43%,0.00%,40.76%,1.43%,0.96%,0.80%,1.11%,0.64%,"245,058","228,216","227,914","235,794","253,485","207,819","221,824",0,"250,108","237,568","350,000","269,513","267,757","250,000","161,942",22.08%,2.19%,30.08%,24.70%,0
2020,1,ID_BAH011,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH012,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH013,North Sumatra,Banda Aceh,Banda Aceh,303,########,74.92%,35.64%,13.53%,6.27%,15.84%,0.00%,0.00%,0.00%,30.69%,8.25%,0.00%,0.00%,0.00%,0.33%,"179,310","189,257","190,675","187,984","188,550",0,0,0,"183,909","117,600",0,0,0,"220,000","134,334",26.20%,1.28%,29.42%,19.72%,0
2020,1,ID_BAH014,North Sumatra,Banda Aceh,Banda Aceh,496,########,39.31%,27.82%,14.52%,2.42%,7.86%,2.62%,0.00%,0.40%,11.09%,0.00%,0.00%,0.40%,0.00%,0.00%,"149,045","143,802","142,445","148,109","144,901","146,891",0,"125,308","162,962",0,0,"128,127",0,0,"58,596",36.61%,5.36%,37.36%,24.80%,0
2020,1,ID_BAH015,North Sumatra,Banda Aceh,Banda Aceh,302,########,40.07%,13.91%,2.32%,7.95%,3.64%,0.00%,0.00%,0.00%,4.97%,0.00%,20.53%,0.66%,0.00%,0.00%,"277,508","239,441","199,002","235,739","273,254",0,0,0,"222,048",0,"319,213","200,000",0,0,"111,187",25.44%,2.96%,17.95%,12.56%,0
