year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_LUN002,East Java 2,Tulungagung,Tulungagung,319,50878550.85,0.7994,0.5423,0.2821,0.232,0.0,0.0282,0.0,0.0,0.232,0.0157,0.0031,0.0031,0.0031,0.0,199517,206358,212726,200693,0,189263,0,0,187017,185000,135000,124166,153410,0,159488,0.4289,0.0044,0.4817,0.3544,0
2020,1,ID_LUN003,East Java 2,Tulungagung,Tulungagung,1050,31405884.3,0.2105,0.1162,0.0438,0.0381,0.0324,0.0019,0.0,0.0,0.0362,0.0,0.0552,0.0029,0.0,0.0,142092,121334,122720,106372,137888,107299,0,0,136562,0,189558,138593,0,0,29907,0.3779,0.054,0.3281,0.2415,0
2020,1,ID_LUN004,East Java 2,Tulungagung,Tulungagung,116,197524.8,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,99000,0,0,0,0,0,0,0,99000,0,0,0,0,0,1707,0.8776,0.102,2.7114,2.7114,0
2020,1,ID_LUN005,East Java 2,Tulungagung,Tulungagung,162,4792417.715,0.1173,0.037,0.0247,0.0,0.0123,0.0,0.0,0.0,0.0247,0.0,0.0432,0.0123,0.0,0.0,252198,253831,288531,0,184431,0,0,0,242916,0,270274,202601,0,0,29579,0.604,0.2079,0.3962,0.3358,0
2020,1,ID_MAJ001,East Java 3,Lumajang,Lumajang,248,13244640.38,0.496,0.2944,0.2419,0.0282,0.0242,0.0,0.0,0.0,0.1774,0.0,0.0161,0.0081,0.0,0.0,107673,103211,104237,103316,92833,0,0,0,109704,0,159107,122967,0,0,53402,0.2102,0.0064,0.2891,0.1814,0
2020,1,ID_MAJ002,East Java 3,Lumajang,Senduro,186,1451817.16,0.0914,0.0269,0.0,0.0215,0.0,0.0054,0.0,0.0,0.0538,0.0,0.0,0.0054,0.0054,0.0,85399,76658,0,80453,0,61480,0,0,89400,0,0,76500,98000,0,7805,0.6102,0.1017,0.34380000000000005,0.3,0
2020,1,ID_MAJ003,East Java 3,Lumajang,Lumajang,279,5654629.71,0.2294,0.1254,0.0502,0.0502,0.0,0.0251,0.0,0.0,0.0609,0.0287,0.0036,0.0072,0.0036,0.0,88350,86665,83342,88745,0,89154,0,0,86843,100000,100000,77500,89780,0,20267,0.35,0.01,0.4153,0.3222,0
2020,1,ID_MBO001,South Sumatra,Muara Bungo,Kabupaten Bungo,372,11785847.11,0.1613,0.0645,0.0403,0.0027,0.0054,0.0108,0.0054,0.0,0.0323,0.0457,0.0081,0.0,0.0108,0.0,196419,176743,167648,189630,222768,200914,144144,0,210000,201960,250000,0,210000,0,31681,0.1067,0.0933,0.29710000000000003,0.2311,0
2020,1,ID_MBO002,South Sumatra,Muara Bungo,Kabupaten Bungo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MBO003,South Sumatra,Muara Bungo,Kabupaten Bungo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
